id,gender,age
0361d4,1,27
006d7f,2,52
14c697,2,49
03ce73,1,30
00c3bd,1,36
1644c0,2,46
06dd2f,2,55
13d6e5,1,34
18d025,1,55
183d6a,2,25
1bf42c,1,71
1c7970,2,80
13fa13,1,44
0af070,2,21
0e5ff3,1,64
0828c3,1,59
01644c,1,29
0a3552,2,2
00c73d,2,47
1cc758,2,75
0f8f49,2,66
1e5863,2,33
1d9899,1,24
13898a,1,59
64002,1,49
19c02f,2,61
1cca1e,2,39
1.30E+179,2,66
1c1ee6,2,71
165225,1,34
0b4eca,2,67
16429f,2,42
082b1a,1,30
1c0e3e,1,46
072ac8,1,55
1a7cbf,2,29
06fb8f,1,54
0b4891,1,57
168060,1,41
142b4e,1,28
18eca1,2,34
125ae2,2,31
11368,1,31
18816e,1,47
1709d0,2,27
10565f,2,93
1e3c63,2,40
189a32,2,43
07e309,1,57
0bfcf5,1,53
12f8be,2,25
29823,1,9
168d43,1,53
0d6385,2,63
118002,2,3
1723ce,2,29
0626de,1,30
02ccd7,1,68
137acd,2,28
0ce23b,1,21
0e0317,1,23
